CurrentRank,Country,CurrentScore,LifeExp,Type,SchYrs,GNIperCapita,PreviousRank,Continent,Status
10,Netherlands,0.941,81.7,Expected,18.7,"55,979",10,Europe,Very High
11,Finland,0.94,82,Expected,19.1,"49,452",12,Europe,Very High
12,Singapore,0.939,82.8,Expected,16.5,"90,919",10,Asia,Very High
13,Belgium,0.937,81.9,Expected,19.6,"52,293",16,Europe,Very High
13,New Zealand,0.937,82.5,Expected,20.3,"44,057",13,Australia,Very High
15,Canada,0.936,82.7,Expected,16.4,"46,808",15,Europe,Very High
16,Liechtenstein,0.935,83.3,Expected,15.2,"146,830",14,Europe,Very High
17,Luxembourg,0.93,82.6,Expected,14.4,"84,649",17,Europe,Very High
18,United Kingdom,0.929,80.7,Expected,17.3,"45,225",17,Europe,Very High
19,Japan,0.925,84.8,Expected,15.2,"42,274",19,Asia,Very High
19,South Korea,0.925,83.7,Expected,16.5,"44,501",20,Asia,Very High
21,United States of America,0.921,77.2,Expected,16.3,"64,765",21,North America,Very High
22,Israel,0.919,82.3,Expected,16.1,"41,524",22,Asia,Very High
23,Malta,0.918,83.8,Expected,16.8,"38,884",26,Europe,Very High
23,Slovenia,0.918,80.7,Expected,17.7,"39,746",23,Europe,Very High
25,Austria,0.916,81.6,Expected,16,"53,619",23,Europe,Very High
26,United Arab Emirates,0.911,78.7,Expected,15.7,"62,574",25,Asia,Very High
27,Spain,0.905,83,Expected,17.9,"38,354",27,Europe,Very High
28,France,0.903,82.5,Expected,15.8,"45,937",28,Europe,Very High
29,Cyprus,0.896,81.2,Expected,15.6,"38,188",29,Europe,Very High
30,Italy,0.895,82.9,Expected,16.2,"42,840",32,Europe,Very High
31,Estonia,0.89,77.1,Expected,15.9,"38,048",30,Europe,Very High
32,Czechia,0.889,77.7,Expected,16.2,"38,745",30,Europe,Very High
33,Greece,0.887,80.1,Expected,20,"29,002",33,Europe,Very High
34,Poland,0.876,76.5,Expected,16,"33,034",36,Europe,Very High
35,Bahrain,0.875,78.8,Expected,16.3,"39,497",35,Asia,Very High
35,Lithuania,0.875,73.7,Expected,16.3,"37,931",34,Europe,Very High
35,Saudi Arabia,0.875,76.9,Expected,16.1,"46,112",38,Asia,Very High
38,Portugal,0.866,81,Expected,16.9,"33,155",39,Europe,Very High
39,Latvia,0.863,73.6,Expected,16.2,"32,803",37,Europe,Very High
40,Andorra,0.858,80.4,Expected,13.3,"51,167",45,Europe,Very High
40,Croatia,0.858,77.6,Expected,15.1,"30,132",41,Europe,Very High
42,Chile,0.855,78.9,Expected,16.7,"24,563",43,South America,Very High
42,Qatar,0.855,79.3,Expected,12.6,"87,134",42,Asia,Very High
44,San Marino,0.853,80.9,Expected,12.3,"52,654",46,Europe,Very High
45,Slovakia,0.848,74.9,Expected,14.5,"30,690",40,Europe,Very High
46,Hungary,0.846,74.5,Expected,15,"32,789",44,Europe,Very High
47,Argentina,0.842,75.4,Expected,17.9,"20,925",47,South America,Very High
48,Turkey,0.838,76,Expected,18.3,"31,033",48,Europe,Very High
49,Montenegro,0.832,76.3,Expected,15.1,"20,839",52,Europe,Very High
50,Kuwait,0.831,78.7,Expected,15.3,"52,920",54,Asia,Very High
51,Brunei,0.829,74.6,Expected,14,"64,490",49,Asia,Very High
52,Russia,0.822,69.4,Expected,15.8,"27,166",49,Europe,Very High
53,Romania,0.821,74.2,Expected,14.2,"30,027",53,Europe,Very High
54,Oman,0.816,72.5,Expected,14.6,"27,054",51,Asia,Very High
55,Bahamas,0.812,71.6,Expected,12.9,"30,486",58,North America,Very High
56,Kazakhstan,0.811,69.4,Expected,15.8,"23,943",59,Asia,Very High
57,Trinidad and Tobago,0.81,73,Expected,14.5,"23,392",56,North America,Very High
58,Costa Rica,0.809,77,Expected,16.5,"19,974",57,North America,Very High
58,Uruguay,0.809,75.4,Expected,16.8,"21,269",55,South America,Very High
60,Belarus,0.808,72.4,Expected,15.2,"18,849",60,Europe,Very High
61,Panama,0.805,76.2,Expected,13.1,"26,957",67,North America,Very High
62,Malaysia,0.803,74.9,Expected,13.3,"26,658",61,Asia,Very High
63,Georgia,0.802,71.7,Expected,15.6,"14,664",64,Europe,Very High
63,Mauritius,0.802,73.6,Expected,15.2,"22,025",62,Africa,Very High
63,Serbia,0.802,74.2,Expected,14.4,"19,123",62,Europe,Very High
66,Thailand,0.8,78.7,Expected,15.9,"17,030",64,Asia,Very High
67,Albania,0.796,76.5,Expected,14.4,"14,131",68,Europe,High
68,Bulgaria,0.795,71.8,Expected,13.9,"23,079",64,Europe,High
68,Grenada,0.795,74.9,Expected,18.7,"13,484",70,North America,High
70,Barbados,0.79,77.6,Expected,15.7,"12,306",71,North America,High
71,Antigua and Barbuda,0.788,78.5,Expected,14.2,"16,792",71,North America,High
72,Seychelles,0.785,71.3,Expected,13.9,"25,831",69,Africa,High
73,Sri Lanka,0.782,76.4,Expected,14.1,"12,578",75,Asia,High
74,Bosnia and Herz.,0.78,75.3,Expected,13.8,"15,242",73,Europe,High
75,Saint Kitts and Nevis,0.777,71.7,Expected,15.4,"23,358",76,North America,High
76,Iran,0.774,73.9,Expected,14.6,"13,001",77,Asia,High
77,Ukraine,0.773,71.6,Expected,15,"13,256",78,Europe,High
78,Macedonia,0.77,73.8,Expected,13.6,"15,918",79,Europe,High
79,China,0.768,78.2,Expected,14.2,"17,504",82,Asia,High
80,Dominican Rep.,0.767,72.6,Expected,14.5,"17,990",82,North America,High
80,Moldova,0.767,68.8,Expected,14.4,"14,875",81,Europe,High
80,Palau,0.767,66,Expected,15.8,"13,819",80,Australia,High
83,Cuba,0.764,73.7,Expected,14.4,"7,879",73,North America,High
84,Peru,0.762,72.4,Expected,15.4,"12,246",85,South America,High
85,Armenia,0.759,72,Expected,13.1,"13,158",87,Europe,High
86,Mexico,0.758,70.2,Expected,14.9,"17,896",88,North America,High
87,Brazil,0.754,72.8,Expected,15.6,"14,370",86,South America,High
88,Colombia,0.752,72.8,Expected,14.4,"14,384",88,South America,High
89,Saint Vincent and the Grenadines,0.751,69.6,Expected,14.7,"11,961",82,North America,High
90,Maldives,0.747,79.9,Expected,12.6,"15,448",97,Asia,High
91,Algeria,0.745,76.4,Expected,14.6,"10,800",96,Africa,High
91,Azerbaijan,0.745,69.4,Expected,13.5,"14,257",100,Asia,High
91,Tonga,0.745,71,Expected,16,"6,822",90,Australia,High
91,Turkmenistan,0.745,69.3,Expected,13.2,"13,021",93,Asia,High
95,Ecuador,0.74,73.7,Expected,14.6,"10,312",99,South America,High
96,Mongolia,0.739,71,Expected,15,"10,588",90,Asia,High
